Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
36;Young_C;Young;control;R94C;T4_3;0,805689348;0,832275809;0,865542326;NA;Context
37;Young_C;Young;control;R94C;T4_4;0,813445178;0,810456022;0,858440056;0,60360518;Context
38;Young_C;Young;control;R94C;T4_5;0,415379824;0,684174975;0,923177314;NA;Context
39;Young_C;Young;control;R95CTT6;T4_3;0,337301647;0,384285656;0,503356714;0,451300947;Context
40;Young_SD;Young;restriction;R94SD;T3_4;0,754059733;0,875782095;0,329267471;0,16104948;Context
41;Young_SD;Young;restriction;R81SD;T5_2;0,621573745;0,966094801;0,948131876;0,854626654;Context
42;Young_SD;Young;restriction;R93SD;T2_6;0,794631117;0,919247896;0,807614894;0,195123674;Context
43;Young_SD;Young;restriction;R93SD;T2_8;0,697110767;0,93939886;0,759761026;0,333234069;Context
44;Young_SD;Young;restriction;R93SD;T4_1;0,397764148;0,722474281;0,716409486;-0,01204763;Context
45;Young_SD;Young;restriction;R93SD;T4_2;0,462044798;0,622942714;0,72180395;0,286736577;Context
46;Young_SD;Young;restriction;R94SD;T2_1;0,806014632;0,907809952;0,794597652;0,559472204;Context
47;Young_SD;Young;restriction;R94SD;T2_4;0,712952288;0,581921216;0,572698364;0,073504877;Context
48;Young_SD;Young;restriction;R94SD;T2_5;0,43372911;0,710234719;0,611932338;0,422137604;Context
49;Young_SD;Young;restriction;R94SD;T3_2;0,824682176;0,935698265;0,946165234;0,732389148;Context
50;Young_SD;Young;restriction;R94SD;T3_3;0,543213223;0,526310151;0,744350431;0,858559608;Context
51;Young_SD;Young;restriction;R94SD;T4_10;0,567485496;0,626885197;0,871760309;0,630961271;Context
52;Young_SD;Young;restriction;R94SD;T4_2;0,729493973;0,472999094;0,599291766;0,23467877;Context
53;Young_SD;Young;restriction;R94SD;T4_3;0,694752699;0,634118048;0,809811161;-0,059154689;Context
54;Young_SD;Young;restriction;R94SD;T4_4;0,414501232;0,688864525;0,420131759;0,559578427;Context
55;Young_SD;Young;restriction;R94SD;T4_5;0,732859705;0,700803412;0,817011508;0,506243498;Context
56;Young_SD;Young;restriction;R94SD;T4_6;0,621767751;0,66128544;0,713050514;0,73467776;Context
57;Young_SD;Young;restriction;R94SD;T4_8;0,409402294;0,765645515;0,426165242;0,632787958;Context
58;Young_SD;Young;restriction;R94SD;T4_9;0,610859494;0,796832053;0,816122517;0,824088288;Context
59;Young_SD;Young;restriction;R94SD;T5_4;0,575190555;0,756831672;0,872375024;0,73811762;Context
