Subject;Mouse;Cell Type;Group;Age;Sleep;mfr_s1;mfr_s2;mfr_s3;mfr_s4;mfr_s5;pfr_s1;pfr_s2;pfr_s3;pfr_s4;pfr_s5;outF_s1;outF_s2;outF_s3;outF_s4;outF_s5;NOfF_s1;NOfF_s2;NOfF_s3;NOfF_s4;NOfF_s5;InfoC_s1;InfoC_s2;InfoC_s3;InfoC_s4;InfoC_s5;RatRemap_Hab-S1;RatRemap_S1-S2;RatRemap_S2-S3;RatRemap_S3-test;SmFields_s1;SmFields_s2;SmFields_s3;SmFields_s4;SmFields_s5
R94C2_3;R94C;T2_3;Young_C;Young;control;0,119402431;0,313201522;0,328640619;0,278533938;1,344890748;3,109042786;3,556258981;3,503997693;3,28148759;3,291227096;0,44362154;0,68313234;1,337381138;0,664817494;0,58081962;3;4;3;1;1;0,839835049;0,418845411;0,413126994;0,616845313;0,650423308;0,447216195;0,052261288;0,222510102;0,009739506;236;148;328;244;96
R94C4_2;R94C;T4_2;Young_C;Young;control;0,592589841;0,912604436;1,558209832;0,929874839;0,838373453;1,586868675;5,372095385;4,689258907;5,51196508;0,696693988;1,356899167;1,318791456;0,874187688;0,719972054;0,68214559;1;1;1;1;2;1,160257159;1,39369717;1,343760344;0,894385449;1,209767172;3,78522671;0,682836478;0,822706173;4,815271093;92;284;412;224;144
R94C4_3;R94C;T4_3;Young_C;Young;control;1,883905017;1,938609424;1,546877397;1,195553364;0,777242056;0,68;1,34;0,77;1,220651765;1,31;0,60382127;0,475287306;0,468174561;0,239372086;0,492242016;1;1;1;1;1;1,137971266;1,462165274;1,769694699;0,928011904;1,251943126;0,66;0,57;0,450651765;0,089348235;224;404;268;288;276
R94C4_4;R94C;T4_4;Young_C;Young;control;1,012709504;0,707403439;0,464629841;0,338525863;0,834006925;1,258438979;1,006919354;1,279840395;1,17;0,955877269;0,745821674;0,610879717;0,496189819;0,495792969;1,473262691;1;1;1;1;1;0,708323948;0,500815369;0,971192764;0,546809348;0,968357588;0,251519625;0,272921041;0,109840395;0,214122731;248;44;420;364;112
R94C4_5;R94C;T4_5;Young_C;Young;control;1,101155749;1,782008662;1,677200401;1,491227852;1,785910117;0,79;0,45;0,87;0,73;0,81;0,405766252;1,080509252;0,975962986;0,931238085;0,255493757;2;1;1;1;2;0,302492783;0,234279824;0,251410541;0,151577327;0,191691209;0,34;0,42;0,14;0,08;448;772;364;148;320
R94C4_6;R94C;T4_6;Young_C;Young;control;0,464342786;1,506607324;0,997254293;0,942730251;0,305656988;0,446998364;0,54357203;0,770315929;0,662237203;0,276959015;0,164579908;0,320341173;0,215230482;0,268194249;0,221093894;2;1;1;2;4;NA;0,475650711;0,262156753;0,420496006;0,186302813;0,096573666;0,226743898;0,108078726;0,385278188;60;40;44;32;36
R95C3_1;R95C;T3_1;Young_C;Young;control;0,205294339;0,416242924;0,350651405;0,49722388;0,346616815;1,26;2,78;0,91;1,5;1,21;0,287691374;0,247203378;0,267597385;0,200822229;0,121948466;1;1;1;1;NA;0,787632924;1,401185442;0,493458615;0,555470897;NA;1,52;1,87;0,59;0,29;336;232;184;144;72
R95C3_2;R95C;T3_2;Young_C;Young;control;0,340935242;0,485616745;0,66623767;0,421886929;0,270794387;1,237888942;1,22906271;1,558089831;1,5;1,013373949;0,103525741;0,124223472;0,207135355;0,185053894;0,163700478;2;1;2;1;1;0,478806031;0,43442172;0,117724501;0,34221323;0,378072366;0,008826233;0,329027121;0,058089831;0,486626051;300;156;148;116;256
R95C3_3;R95C;T3_3;Young_C;Young;control;0,131974932;0,227391968;0,32059557;0,369151063;0,299679121;0,788586223;1,737736314;2,171846351;1,96;2,17;0,142398656;0,204829228;0,202933395;0,145800596;0;1;1;1;1;3;0,575105917;0,43947715;0,590540868;1,391004054;0,338965659;0,949150092;0,434110037;0,211846351;0,21;732;424;772;440;84
R95C3_4;R95C;T3_4;Young_C;Young;control;0,150304784;0,250516575;0,250465289;0,169508141;0,086654204;0,834011817;0,967473639;0,840025616;1,003612046;1,929950677;0,194992365;0,672061847;0,207221335;0,404791969;0,260325694;2;2;1;1;2;0,208430456;0,210416989;0,203582748;0,348527358;0,236353176;0,133461822;0,127448023;0,16358643;0,926338631;340;160;116;132;544
R95C4_1;R95C;T4_1;Young_C;Young;control;0,234622102;0,755403826;0,460856132;0,764670059;0,386333325;0,726970387;0,582098265;1,293908395;0,913052876;1,342637602;0,482314529;0,385729632;0,558358719;0,42191247;0,49297969;1;3;2;2;1;0,453657912;0,456768026;0,517385954;0,750136708;0,095484058;0,144872122;0,71181013;0,380855519;0,429584726;280;252;316;364;724
R95C4_2;R95C;T4_2;Young_C;Young;control;0,608551077;0,427805228;0,651209752;0,704400497;0,700454814;0,820786841;1,453709249;2,323010346;3,406581654;1,956405776;0,261454171;0,503500303;0,691082574;0,692263461;0,750100141;2;2;2;1;3;0,515147707;0,28905236;0,206922759;0,338468671;0,718645603;0,632922408;0,869301097;1,083571308;1,450175878;336;44;176;704;860
R95C4_3;R95C;T4_3;Young_C;Young;control;0,42891853;0,686030005;0,976814629;1,261893939;1,075956363;2,37956636;1,135929339;1,046726181;0,893533854;1,016950488;0,335300806;0,330071604;0,204270111;0,316165624;0;2;3;1;2;1;1,231140545;0,279189507;0,939574027;1,249797178;1,306354064;1,243637021;0,089203158;0,153192327;0,123416634;564;328;424;788;468
R93C2_4;R93C;T2_4;Young_C;Young;control;0,617097831;0,825570598;0,648693621;0,826090257;0,62530304;0,726713372;3,505953674;1,399951437;2,848482836;1,93665609;0,255517419;0,312152856;0,323991075;0,243276231;0,400079572;2;2;1;2;1;1,048264729;0,522332299;0,618912178;0,776780323;1,36037042;2,779240302;2,106002237;1,4485314;0,911826747;128;164;468;160;176
