Subject;Mouse;Cell Type;Group;Age;Sleep;id_s1;id_s2;id_s3;id_s4;id_s5;LR_s1;LR_s2;LR_s3;LR_s4;LR_s5
178;R94SDIM2;T5_2;Young_SD;Young;restriction;9,535535457;8,914209979;10,03451817;16,16663588;11,9771175;0,857444564;0,985939439;0,723635886;0,252984193;0,485569091
179;R95SD;T1_2;Young_SD;Young;restriction;23,63531939;13,90304095;10,10473481;7,810220587;11,64098898;0,139425632;0,312764308;0,98353879;1,709583288;0,576295748
180;R95SD;T4_2;Young_SD;Young;restriction;17,42900884;54,31750551;21,60104031;15,82440178;9,168950943;0,193404265;0,068047125;0,179269512;0,211551774;1,027498815
181;R95SD;T1_1;Young_SD;Young;restriction;11,09069384;10,25973254;10,58409406;9,012741882;12,62571249;0,612494183;0,828499142;0,623542839;1,023586165;0,450776118
182;R95SD;T1_3;Young_SD;Young;restriction;10,12870267;9,743544086;22,4261648;14,07768752;13,89744323;0,730874942;0,763931716;0,142343039;0,299581483;0,377412044
183;R95SD;T3_1;Young_SD;Young;restriction;10,66312052;9,100212074;23,91498948;20,8639091;9,800492607;0,680590987;0,999918204;0,25531926;0,167157451;0,777522059
184;R95SD;T3_2;Young_SD;Young;restriction;13,47908809;8,80117151;18,67973488;9,013814324;7,367308418;0,41415718;0,970774556;0,190665908;1,041184383;1,377025716
185;R95SD;T3_5;Young_SD;Young;restriction;10,06788516;11,04446306;12,53360298;9,339377864;7,685594941;0,65654464;0,737004616;0,470420411;0,852839424;1,701295208
186;R95SD;T4_1;Young_SD;Young;restriction;11,12623965;12,31983633;7,428659861;56,45982565;10,78987683;0,60031845;0,436881674;1,804694021;0,214205837;0,631467129
187;R95SD;T4_3;Young_SD;Young;restriction;13,76781289;12,59690763;7,968757774;8,888807294;9,842944496;0,418106414;0,489604344;1,702630909;1,016349377;0,844692501
